Word	Number of Counts
		474	
a		35	
aallans		1	
abdikadir		1	
abdikadirnairobi		1	
about		2	
abu		1	
abuhemedi		1	
accountability		1	
across		2	
ad		1	
adeb		1	
adige		1	
adopt		1	
advocacy		1	
africa		23	
africainliveen		1	
africanmediaage		1	
afrika		1	
afrique		1	
afrodija		1	
after		5	
afterm		1	
against		2	
ahead		1	
aiallan		1	
airtelug		7	
aishathatgal		1	
ajenews		4	
alegrias		2	
aljazeera		1	
all		1	
already		1	
also		2	
am		1	
amama		6	
amamambabazi		1	
ambassader		1	
ambassador		3	
america		1	
amisom		1	
an		3	
and		26	
android		4	
another		2	
anthem		2	
anthology		1	
anthonywafula		2	
anti		1	
any		1	
anything		1	
anythingnaija		1	
anytinnaijaplus		1	
anywhere		1	
app		4	
approach		1	
aqu		2	
are		18	
around		4	
arrest		7	
arrested		21	
arrests		8	
arts		1	
as		6	
asking		1	
aspirants		2	
assoc		1	
at		12	
attack		2	
auditorium		1	
auf		1	
august		1	
augustineolowo		1	
aurisblah		1	
austria		1	
aventuras		1	
award		2	
babishaifestival		1	
bachelor		1	
back		1	
bad		1	
balfm		1	
bana		1	
banyaknya		1	
bar		1	
barat		1	
barrylan		1	
bashrtahr		1	
basigye		1	
batugaraonline		1	
batugarasumedang		1	
bbc		4	
bbcafrica		5	
bbcnews		1	
bbcnewscouk		1	
be		6	
beater		1	
beautiful		1	
beauty		1	
because		1	
bedeviling		1	
bee		1	
been		11	
begins		5	
behind		1	
being		1	
benchiza		1	
besigye		13	
besigyebook		1	
bet		2	
betafrica		2	
between		1	
bibirukwengye		1	
bien		2	
bigassbougie		1	
bigger		1	
bikini		1	
billgates		1	
birds		1	
biztraveluk		1	
blaiyzekha		1	
bless		1	
bluehost		1	
bnpoetryaward		1	
bomb		1	
bonidulani		2	
bookstop		1	
border		2	
both		2	
botswana		2	
bottom		1	
breaks		1	
breathing		1	
bseagle		1	
bt		1	
budget		1	
build		3	
burundi		5	
busingye		1	
but		3	
buy		1	
buying		1	
buziga		1	
called		1	
calls		1	
camp		1	
campaign		1	
campaigns		4	
can		5	
canadakenyasomaliapalestine		1	
candidates		1	
cant		1	
cape		1	
car		2	
caroledelisl		1	
casino		1	
cctvnewsafrica		1	
cerquita		2	
certain		1	
challenge		5	
challengers		2	
chan		1	
change		2	
check		1	
checkpoint		2	
city		1	
civilians		1	
claudiaislief		1	
clear		1	
clivekyazze		1	
clock		1	
close		1	
closed		1	
clovismawanda		1	
cnni		1	
cobbo		8	
coca		1	
codenamecarter		1	
cola		1	
comes		2	
compete		1	
con		1	
congratulations		1	
congs		1	
constituencies		1	
consulting		3	
continue		1	
controls		1	
copy		1	
corner		1	
could		1	
countries		4	
country		9	
coverage		1	
crackdown		5	
cranes		5	
crazy		1	
crimes		3	
crisis		3	
crossed		1	
crush		1	
cuba		1	
cyruskublai		1	
dabigaba		1	
dahin		1	
dapoawofisayo		1	
data		1	
datony		1	
dats		1	
daughter		1	
david		1	
dc		1	
de		4	
declared		1	
deep		1	
delaney		1	
delta		1	
demand		1	
